Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C20, C23, C28, C32, C34, C59, C66, C69, C70, C72, C75, C76, C77, C78, C79, C8, C92, C97",C0603,19,100n,C14663
"C10, C11, C13, C24, C60, C73",C0603,6,330p,C576850
"C100, C101, C18, C19, C29, C30, C35, C36, C37, C38, C5, C51, C52, C53, C54, C55, C56, C57, C58, C6, C61, C62, C63, C7, C71, C87, C89, C93, C94, C95, C96, C98, C99",0603,33,1000pF,C106247
"C12, C26",C0603,2,4.7u,C19666
"C14, C15",C_Radial_D16.0mm_H25.0mm_P7.50mm,2,1200uF,C5111952
"C16, C21",C_Radial_D16.0mm_H25.0mm_P7.50mm,2,470uF,C5110766
"C17, C80, C81, C82",0805,4,0.22uF,C342873
"C2, C3",C0603,2,47p,C1671
"C31, C33, C4, C68",0805,4,10u,C15850
"C39, C40, C41, C42, C64",0603,5,0.33uF,C1615
"C43, C44, C45, C46, C47, C48, C49, C50, C65, C67, C84, C85, C86, C88",C0603,14,4700p,C342899
C74,C0603,1,470p,C525649
C9,C0603,1,1u,C15849
"C90, C91",0603,2,18pF,C1647
D1,D_SMC,1,SMCJ22CA,C310038
"D10, D11",TO-252-2,2,SBR10200CTL,C135494
"D12, D13, D14, D15, D16, D17, D19, D9",D_SMB,8,STPS2H100UY,C163541
"D18, D22, D7, D8",SOT-23-6,4,SRV05-4,C85364
"D2, D3, D4",D_MiniMELF,3,ZMM5V6,C8062
D20,0603,1,RED,C2286
D21,0603,1,GREEN,C72043
"D28, D31, D32, D33",0805,4,LED_Small,C2296
D34,TO-263-2,1,SDURB1020CT,C260365
"D5, D6",D_SMA,2,D_Schottky,C8678
F1,PAD-1206-PAD,1,Fuse-Pad-Pad,C310989
J1,PinHeader_2x02_P2.54mm_Vertical,1,Conn_02x02_Odd_Even,C66690
J2,PinHeader_2x07_P1.27mm_Vertical_SMD,1,FTSH-107-01-F-DV-K,
"J4, J5",PinHeader_1x06_P2.54mm_Vertical,2,Conn_01x06,C37208
L1,L_Wuerth_HCI-1350,1,6.8uH,C380073
L2,L_Vishay_IHLP-6767,1,10uH,C237980
P1,TE_368255-2,1,368255-2,C392284
"Q1, Q10, Q11, Q12, Q16, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",TO-252-2,13,BUK9230-100B,C89735
Q13,TO-252-2,1,AOD4185,C5261064
"Q14, Q15",TO-252-2,2,VND14NV04TR-E,C2149912
"R10, R11, R13, R14, R15, R16, R17, R18, R19, R20, R24, R94",0603,12,10,C22859
"R100, R105, R106, R107, R108, R2, R34, R35, R56, R60, R92, R93, R95, R96, R97, R98, R99",R0603,17,10k,C25804
"R101, R102, R103, R104, R123, R124, R125, R23, R25, R27, R3, R4, R7, R8, R9",0603,15,1K,C21190
"R109, R110, R111, R112, R121, R37, R57, R58, R59, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R84, R85, R86, R87, R89, R91",PAD-0805-PAD,34,Jumper-Pad-Pad,C17477
"R113, R114, R115, R116",0603,4,0,C21189
"R12, R21, R22, R26, R45",Shunt_1206,5,0.01,C309628
"R126, R127",1206,2,2K,C17944
"R128, R129, R130, R131, R132, R133, R134, R135, R136",0805,9,56k,C17756
"R29, R31, R33, R6",0603,4,470K,C23178
R36,R0603,1,5.1k,C23186
R38,0603,1,220,C22962
R39,R0603,1,1.6k,C22847
R40,R0603,1,750,C23241
R42,0603,1,5.1,C25197
R43,0603,1,75K,C23242
"R46, R47, R48, R49",0603,4,6.8K,C23212
"R50, R51, R52, R53, R54",0603,5,10K,C25804
"S1, S2, S3, S4, S5, S6",TestPoint_Pad_D1.5mm,6,TestPoint,
"S7, S8",SMD-2_2.9x3.9x1.7,2,Button_SPST,C455280
U1,LQFP-64-1EP_10x10mm_P0.5mm_EP5x5mm_ThermalVias,1,MC33816,C729087
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051T-3,C38695
U3,TO-252-2,1,LM78M05_TO252,C58069
"U4, U8",TSSOP-14_4.4x5mm_P0.65mm,2,"74HC14PW,118",C5606
U5,SOT-23-3,1,XC6206P332MR,C5446
U6,TSSOP-14_4.4x5mm_P0.65mm,1,MCP6004,C50282
U7,LQFP-48_7x7mm_P0.5mm,1,stm32F103CBT6,C8304
Y1,Crystal_SMD_HC49-SD,1,8MHz,C12674
Y2,Oscillator_SMD_Diodes_FN-4Pin_7.0x5.0mm,1,1MHz,C2901463
