Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C20, C23, C28, C32, C34, C59, C66, C69, C70, C72, C75, C76, C77, C78, C79, C8, C86",C0603,18,100n,C14663
"C10, C11, C13, C24, C60, C73, C99",C0603,7,330p,C576850
"C12, C26",C0603,2,4.7u,C19666
"C14, C15, C16, C21, C22, C25, C27, C83",CP_Radial_D16.0mm_P7.50mm,8,470uF,C443092
"C17, C80, C81, C82",0805,4,0.22uF,C513710
"C18, C19, C29, C30, C35, C36, C37, C38, C5, C51, C52, C53, C54, C55, C56, C57, C58, C6, C61, C62, C63, C7, C71, C84, C85, C87, C88, C93, C94, C95, C96",0603,31,1000pF,C106247
"C2, C3",C0603,2,47p,C1671
"C31, C33, C4, C68",0805,4,10u,C15850
"C39, C40, C41, C42, C64, C97, C98",0603,7,0.33uF,C1615
"C43, C44, C45, C46, C47, C48, C49, C50, C65, C67, C89, C90, C91, C92",C0603,14,4700p,C327158
C74,C0603,1,470p,C326973
C9,C0603,1,1u,C15849
D1,D_SMC,1,SMCJ22CA,C151904
"D10, D11, D17",TO-252-2,3,SBR10200CTL,C135494
"D12, D13, D14, D15, D16, D19, D22, D9",D_SMB,8,STPS2H100UY,C163541
"D18, D7, D8",SOT-23-6,3,SRV05-4,C85364
"D2, D3, D4",D_MiniMELF,3,ZMM5V6,C7497481
D20,0603,1,BLUE,C497940
D21,0603,1,GREEN,C965804
"D28, D31, D32, D33",0805,4,LED_Small,C2296
D34,TO-263-2,1,STTH802G-TR,C181034
"D5, D6",D_SMA,2,D_Schottky,C8678
F1,1206,1,10A,C136354
J5,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
L1,L_Wuerth_HCI-1350,1,6.8uH,C149517
L2,L_Vishay_IHLP-6767,1,10uH,C237980
P1,TE_368255-2,1,368255-2,
"Q1, Q10, Q11, Q12, Q16, Q17, Q18, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",TO-252-2,15,BUK9230-100B,C89735
Q13,TO-252-2,1,AOD4185,C400894
"Q14, Q15",TO-252-2,2,VND14NV04TR-E,C2649436
"R10, R11, R13, R14, R15, R16, R17, R18, R19, R20, R24, R91, R92, R93, R94",0603,15,10,C22859
"R100, R101, R102, R103, R104, R105, R106, R97, R99",0805,9,56k,C17756
"R12, R21, R22, R26, R90",Shunt_1206,5,0.01,C309628
"R2, R34, R35",R0603,3,10k,C25804
"R23, R25, R27, R3, R4, R7, R8, R88, R89, R9",0603,10,1K,C21190
"R29, R31, R33, R6",0603,4,470K,C23178
R36,R0603,1,5.1k,C23186
"R38, R42",0603,2,5.1,C25197
R39,R0603,1,1.6k,C22847
R40,R0603,1,750,C23241
R43,0603,1,75K,C23242
"R45, R98",1206,2,2K,C17944
"R46, R47, R48, R49",0603,4,6.8K,C23212
"R50, R51, R52, R53, R54",0603,5,10K,C25804
"RN1, RN2, RN3",R_Array_Convex_4x0603,3,10k,C29718
"U1, U4",TSSOP-14_4.4x5mm_P0.65mm,2,74HC14,C5606
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051T-3,C38695
U3,TO-252-2,1,LM78M05_TO252,C58069
U5,SOT-23,1,XC6206P332MR,C5446
U6,TSSOP-14_4.4x5mm_P0.65mm,1,MCP6004,C248577
U7,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
U8,LQFP-80-1EP_12x12mm_P0.5mm,1,PT2000,C1574969
Y2,Oscillator_SMD_Diodes_FN-4Pin_7.0x5.0mm,1,1MHz,C2901463
