Designator,Mid X,Mid Y,Rotation,Layer
C1,69.8775,86.95,0.0,bottom
C10,20.399999,43.2375,90.0,top
C11,21.699999,43.2375,90.0,top
C12,40.699999,21.090001,270.0,bottom
C13,23.099999,43.2375,90.0,top
C14,131.999999,97.262755,90.0,top
C15,113.999999,97.262755,90.0,top
C16,94.999999,97.262755,90.0,top
C17,132.999999,87.0,180.0,bottom
C18,81.699999,103.7,270.0,bottom
C19,74.199999,103.7,270.0,bottom
C2,96.099999,128.55,180.0,top
C20,100.999999,122.5,270.0,top
C21,113.999999,75.9,90.0,top
C22,131.899999,57.887246,270.0,top
C23,33.099999,50.4875,180.0,top
C24,24.399999,43.2375,90.0,top
C25,94.999999,75.9,90.0,top
C26,33.099999,52.9875,180.0,top
C27,67.487244,77.4,180.0,top
C28,33.099999,51.7375,180.0,top
C29,80.199999,103.7,270.0,bottom
C3,99.099999,128.55,180.0,top
C30,74.037499,87.75,180.0,bottom
C31,106.879999,108.65,270.0,bottom
C32,17.349999,43.2375,90.0,top
C33,111.549999,109.3125,90.0,bottom
C34,18.699999,43.2375,90.0,top
C35,74.037499,89.3,180.0,bottom
C36,74.037499,90.9,180.0,bottom
C37,83.287499,87.75,180.0,bottom
C38,69.862499,91.4,0.0,bottom
C39,19.037499,63.2375,270.0,top
C4,102.319999,108.65,270.0,bottom
C40,22.037499,63.2375,270.0,top
C41,20.537499,63.2375,270.0,top
C42,23.537499,63.2375,270.0,top
C43,20.499999,131.5,270.0,top
C44,16.499999,131.5,270.0,top
C45,39.499999,131.5,270.0,top
C46,35.499999,131.5,270.0,top
C47,46.999999,131.5,270.0,top
C48,43.274999,131.549979,270.0,top
C49,58.999999,131.5,270.0,top
C5,78.699999,103.7,270.0,bottom
C50,50.999999,131.5,270.0,top
C51,83.287499,89.3,180.0,bottom
C52,15.499999,117.5,0.0,bottom
C53,30.499999,117.5,0.0,bottom
C54,15.499999,106.0,0.0,bottom
C55,20.999999,112.5,90.0,top
C56,37.999999,117.5,0.0,bottom
C57,52.999999,117.5,0.0,bottom
C58,37.999999,106.0,0.0,bottom
C59,12.849999,49.2375,0.0,top
C6,77.199999,103.7,270.0,bottom
C60,89.044999,44.68,90.0,bottom
C61,43.499999,112.5,90.0,top
C62,37.999999,91.5,0.0,bottom
C63,45.499999,91.5,0.0,bottom
C64,33.699999,57.3,90.0,top
C65,62.999999,131.5,270.0,top
C66,63.399999,103.65,270.0,top
C67,54.999999,131.5,270.0,top
C68,115.549999,109.3125,90.0,bottom
C69,64.899999,103.65,270.0,top
C7,75.699999,103.7,270.0,bottom
C70,64.899999,91.65,90.0,top
C71,15.299999,71.1975,180.0,top
C72,63.399999,91.65,90.0,top
C73,72.999999,43.0,0.0,top
C74,84.999999,46.59998,90.0,top
C75,32.287499,26.419998,90.0,bottom
C76,39.822498,27.209999,180.0,bottom
C77,33.0775,23.209999,0.0,bottom
C78,33.699999,27.832498,90.0,bottom
C79,39.199999,21.0875,270.0,bottom
C8,64.199999,95.627501,270.0,bottom
C80,118.999999,59.0,0.0,bottom
C81,72.999999,45.0,180.0,top
C82,72.999999,47.25,180.0,top
C83,67.487244,58.4,180.0,top
C84,84.699999,103.7,270.0,bottom
C85,83.199999,103.7,270.0,bottom
C86,79.1275,87.75,0.0,bottom
C87,69.862499,89.9,0.0,bottom
C88,69.862499,88.4,0.0,bottom
C89,12.499999,131.5,270.0,top
C9,15.999999,43.2375,90.0,top
C90,28.099999,131.5,270.0,top
C91,30.499999,131.5,270.0,top
C92,24.999999,131.5,270.0,top
C93,15.499999,91.5,0.0,bottom
C94,30.499999,91.5,0.0,bottom
C95,15.499999,80.0,0.0,bottom
C96,20.999999,86.5,90.0,top
C97,25.037499,63.2375,270.0,top
C98,26.537499,63.2375,270.0,top
C99,25.799999,43.2375,90.0,top
D1,136.599999,118.4,0.0,top
D10,22.999999,120.5,90.0,top
D11,45.499999,120.5,90.0,top
D12,25.999999,112.0,180.0,bottom
D13,40.999999,112.0,0.0,bottom
D14,48.499999,112.0,180.0,bottom
D15,41.999999,94.5,180.0,bottom
D16,41.999999,99.0,180.0,bottom
D17,22.999999,94.5,90.0,top
D18,70.449999,96.2,0.0,top
D19,18.499999,86.0,0.0,bottom
D2,125.999999,127.25,90.0,top
D20,45.699999,21.459999,180.0,top
D21,45.699999,24.459999,180.0,top
D22,25.999999,86.0,180.0,bottom
D28,72.237499,121.94,180.0,top
D3,122.999999,133.0,90.0,top
D31,72.199999,125.365,180.0,top
D32,72.237499,118.69,180.0,top
D33,72.299999,115.44,180.0,top
D34,89.744999,58.0,180.0,top
D4,125.999999,133.0,90.0,top
D5,113.499999,128.0,0.0,top
D6,120.999999,128.0,180.0,top
D7,76.449999,96.2,0.0,top
D8,82.449999,96.2,0.0,top
D9,18.499999,112.0,0.0,bottom
F1,133.199999,126.4,270.0,top
J5,65.299999,120.465,0.0,top
L1,131.999999,78.0,270.0,top
L2,110.122499,54.0,180.0,top
P1,77.002,148.218,0.0,top
Q1,15.499999,94.5,90.0,top
Q10,49.999999,111.0,0.0,top
Q11,37.999999,94.5,90.0,top
Q12,45.499999,94.5,90.0,top
Q13,132.899999,110.6,0.0,top
Q14,113.499999,120.5,90.0,top
Q15,120.999999,120.5,90.0,top
Q16,30.499999,94.5,90.0,top
Q17,15.499999,83.0,90.0,top
Q18,27.999999,85.0,0.0,top
Q2,93.244999,46.0,0.0,top
Q3,15.499999,120.5,90.0,top
Q4,30.499999,120.5,90.0,top
Q5,37.999999,120.5,90.0,top
Q6,52.999999,120.5,90.0,top
Q7,27.499999,111.0,0.0,top
Q8,15.499999,109.0,90.0,top
Q9,37.999999,109.0,90.0,top
R10,15.499999,116.0,0.0,bottom
R100,67.987499,73.9,0.0,bottom
R101,67.987499,63.9,0.0,bottom
R102,67.987499,75.9,0.0,bottom
R103,67.987499,71.9,0.0,bottom
R104,67.987499,67.9,0.0,bottom
R105,67.987499,65.9,0.0,bottom
R106,67.987499,69.9,0.0,bottom
R11,30.499999,116.0,0.0,bottom
R12,85.001463,42.59999,270.0,top
R13,15.499999,104.5,0.0,bottom
R14,20.999999,109.5,90.0,top
R15,37.999999,116.0,0.0,bottom
R16,52.999999,116.0,0.0,bottom
R17,37.999999,104.5,0.0,bottom
R18,43.499999,109.5,90.0,top
R19,37.999999,90.0,0.0,bottom
R2,128.499999,134.0,0.0,top
R20,45.499999,90.0,0.0,bottom
R21,21.499989,105.001464,0.0,top
R22,43.999989,105.001464,0.0,top
R23,49.199999,24.459999,180.0,top
R24,84.999999,49.69998,90.0,top
R25,74.199999,103.75,270.0,top
R26,46.329989,87.498536,180.0,top
R27,80.199999,103.75,270.0,top
R29,71.199999,103.7,90.0,bottom
R3,78.699999,103.75,270.0,top
R31,69.699999,103.7,90.0,bottom
R33,68.199999,103.7,90.0,bottom
R34,111.999999,114.0,180.0,top
R35,119.499999,114.0,180.0,top
R36,68.799999,121.94,180.0,top
R38,89.044999,47.68,90.0,bottom
R39,68.849999,118.94,180.0,top
R4,77.199999,103.75,270.0,top
R40,68.799999,115.44,180.0,top
R42,75.999999,44.175,90.0,top
R43,68.799999,125.365,180.0,top
R45,118.462499,56.0,0.0,bottom
R46,61.899999,103.65,270.0,top
R47,66.399999,103.65,270.0,top
R48,66.399999,91.65,90.0,top
R49,61.799999,91.65,90.0,top
R50,61.899999,103.65,90.0,bottom
R51,66.399999,103.65,90.0,bottom
R52,66.399999,91.65,270.0,bottom
R53,61.799999,91.65,270.0,bottom
R54,31.949999,31.634999,270.0,bottom
R6,72.699999,103.7,90.0,bottom
R7,75.699999,103.75,270.0,top
R8,81.699999,103.75,270.0,top
R88,84.699999,103.75,270.0,top
R89,83.199999,103.75,270.0,top
R9,49.199999,21.459999,0.0,top
R90,21.499989,79.001464,0.0,top
R91,15.499999,90.0,0.0,bottom
R92,30.499999,90.0,0.0,bottom
R93,15.499999,78.5,0.0,bottom
R94,20.999999,83.5,90.0,top
R97,67.987499,61.9,0.0,bottom
R98,118.462499,53.0,0.0,bottom
R99,67.987499,59.9,0.0,bottom
RN1,76.449999,100.2,0.0,top
RN2,82.449999,100.2,0.0,top
RN3,70.449999,100.2,0.0,top
