Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C13, C22",0805,4,10u,C15850
"C100, C101, C113, C49, C50, C66, C67, C83, C84",C0603,9,1u,C15849
"C102, C103, C104, C11, C115, C119, C12, C23, C26, C29, C31, C32, C33, C34, C35, C36, C41, C51, C52, C53, C58, C68, C69, C70, C75, C85, C86, C87, C92",C0603,29,100n,C14663
"C105, C106",CP_Radial_D18.0mm_P7.50mm,2,470uF/200V,C160144
"C107, C108, C114, C117",1206,4,0.22uF,C106048
"C109, C111",0805,2,330p,C113837
"C110, C48, C65, C82, C99",C0603,5,330p,C576850
C112,C0603,1,470p,C326973
"C116, C118",CP_Radial_D18.0mm_P7.50mm,2,2200uF/50V,C106661
"C14, C15, C16, C17, C18, C19, C2, C20, C21, C3, C4, C42, C43, C44, C45, C5, C59, C6, C60, C61, C62, C7, C76, C77, C78, C79, C8, C9, C93, C94, C95, C96",0603,32,1000pF,C106247
"C24, C25",C0603,2,47p,C1671
"C27, C28",C0603,2,12p,C38523
C30,C0603,1,4.7u,C19666
"C37, C38, C39, C40, C54, C55, C56, C57, C71, C72, C73, C74, C88, C89, C90, C91",C0603,16,4700p,C327158
"C46, C47, C63, C64, C80, C81, C97, C98",0603,8,0.33uF,C1615
D1,D_SMC,1,SMCJ22CA,C151904
D10,0603,1,GREEN,C12624
D11,0603,1,RED,C2286
"D12, D17, D22, D27",TO-252-2,4,SBR10200CTL,C459529
"D13, D14, D18, D19, D23, D24, D28, D29",D_SMB,8,SS520B,C382826
"D15, D16, D20, D21, D25, D26, D30, D31",D_SOD-123F,8,ES1JFL,C719809
"D2, D3, D4",D_MiniMELF,3,ZMM5V6,C7497481
D32,TO-263-2,1,STTH802G-TR,C181034
"D5, D6, D7",0805,3,LED_Small,C2296
"D8, D9",SOT-23-6,2,SRV05-4,C85364
F1,1206,1,20A,C136357
L1,L_Changjiang_FXL2213,1,10uH,C22378757
L2,L_Changjiang_FXL1360,1,6.8uH,C7471128
P1,TE_368255-2,1,368255-2,
Q1,TO-252-2,1,AOD4185,C400894
"Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",TO-252-2,16,IPD320N20N3G,C501515
Q18,TO-263-2,1,IPB107N20N3G,C444895
"R10, R14, R15, R18, R20, R24, R3, R30, R35, R37, R4, R41, R47, R5, R52, R54, R58, R6, R64, R69, R7, R71, R75, R8, R81, R86, R9",0603,27,1K,C21190
"R100, R89",0603,2,5.1,C25197
"R101, R88, R91, R92, R93, R95, R96, R98, R99",0805,9,360k,C17645
"R102, R22, R39, R56, R73",R_Shunt_Vishay_WSK2512_6332Metric_T1.19mm,5,0.016,C915978
"R103, R25, R26, R27, R28, R42, R43, R44, R45, R59, R60, R61, R62, R76, R77, R78, R79",0603,17,10,C22859
R11,R0603,1,5.1k,C23186
R12,R0603,1,1.6k,C22847
R13,R0603,1,750,C23241
"R16, R2",0603,2,10K,C25804
"R17, R19, R23, R29, R34, R36, R40, R46, R51, R53, R57, R63, R68, R70, R74, R80, R85",0603,17,147k,C22878
"R31, R48, R65, R82, R97",0603,5,1.02k,C22831
"R32, R49, R66, R83, R94",0603,5,7.15k,C25980
"R87, R90",1206,2,2K,C17944
"RN1, RN2",R_Array_Convex_4x0603,2,10k,C29718
U1,TO-252-2,1,LM78M05_TO252,C58069
"U10, U11, U14, U15, U18, U19, U22, U23, U24",SOIC-8_3.9x4.9mm_P1.27mm,9,IRS21867S,C52290
"U12, U13, U16, U17, U20, U21, U8, U9",SOIC-8_3.9x4.9mm_P1.27mm,8,INA826,C38433
"U2, U3",TSSOP-14_4.4x5mm_P0.65mm,2,74HC14,C5606
U4,SOT-23-3,1,XC6206P332MR,C5446
U5,SOT-23-5,1,REF2033,C440747
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051T-3,C38695
U7,LQFP-80_12x12mm_P0.5mm,1,STM32G474M_B-C-E_Tx,C5270364
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,20MHz,C112566
