Designator,Mid X,Mid Y,Rotation,Layer
C1,92.999999,58.0,180.0,top
C10,96.999999,58.0,0.0,top
C100,108.999999,97.26,180.0,top
C101,94.999999,95.26,180.0,top
C102,108.999999,95.26,180.0,top
C103,94.999999,97.26,180.0,top
C104,105.999999,79.0,90.0,top
C105,118.999999,25.72778,270.0,top
C106,98.999999,25.72778,270.0,top
C107,123.999999,26.0,270.0,bottom
C108,86.999999,26.0,270.0,top
C109,83.999999,22.0,270.0,top
C11,89.799999,47.1,270.0,top
C110,22.999999,33.0,90.0,top
C111,122.999999,40.0,270.0,top
C112,113.999999,36.0,180.0,top
C113,141.999999,22.0,180.0,top
C114,146.499999,80.0,0.0,top
C115,141.999999,24.0,180.0,top
C116,131.727779,74.0,180.0,top
C117,146.499999,102.0,0.0,top
C118,131.727779,108.0,180.0,top
C119,111.999999,72.9,270.0,top
C12,80.799999,47.1,270.0,top
C13,92.999999,53.0,0.0,top
C14,79.799999,52.1,90.0,top
C15,87.799999,52.1,90.0,top
C16,77.799999,52.1,90.0,top
C17,85.799999,52.1,90.0,top
C18,75.799999,52.1,90.0,top
C19,83.799999,52.1,90.0,top
C2,79.799999,64.1,90.0,top
C20,73.799999,52.1,90.0,top
C21,81.799999,52.1,90.0,top
C22,92.999999,45.0,0.0,top
C23,119.999999,70.9,270.0,top
C24,65.999999,58.0,180.0,top
C25,69.999999,58.0,180.0,top
C26,67.999999,46.0,0.0,top
C27,17.999999,46.0,180.0,top
C28,17.999999,36.0,0.0,top
C29,32.249999,27.102501,270.0,bottom
C3,87.799999,64.1,90.0,top
C30,28.099999,39.6875,180.0,bottom
C31,28.1025,37.75,0.0,bottom
C32,28.1025,30.25,0.0,bottom
C33,38.249999,38.897499,90.0,bottom
C34,39.897498,33.25,180.0,bottom
C35,39.897498,28.25,180.0,bottom
C36,33.749999,27.102501,270.0,bottom
C37,23.999999,151.0,270.0,bottom
C38,20.999999,137.0,90.0,bottom
