Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",0603,6,100n,C14663
"C10, C11, C12, C7, C8",0805,5,10u,C15850
"C13, C14, C15",0603,3,10n,C57112
C9,CP_Elec_10x10.5,1,470u,C72518
D1,0805,1,Green,C2297
"D2, D3, D4",D_SOD-323,3,1N5819WS,C191023
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole_Pad,
"J1, J2, J3, J4, J5",TerminalBlock_MetzConnect_Type055_RT01504HDWU_1x04_P5.00mm_Horizontal,5,Screw_Terminal_01x04,C173286
"Q1, Q2, Q3, Q4",TO-252-2,4,IRFR7440,C97244
"Q5, Q6",SOT-23,2,AO3400A,C20917
"R1, R10, R2, R3",0603,4,4.7k,C23162
"R11, R12, R6, R7, R8, R9",0603,6,10,C22859
R4,0603,1,0,C21189
R5,0603,1,DNP,
"U1, U2, U3",SO-8_3.9x4.9mm_P1.27mm,3,IR2302,C148147
