Designator,Mid X,Mid Y,Rotation,Layer
C1,23.0,45.5,0.0,top
C10,44.0,23.5,0.0,top
C11,44.0,19.5,0.0,top
C12,47.0,9.5,90.0,top
C13,67.0,44.0,270.0,top
C14,67.0,18.0,90.0,top
C15,38.0,9.5,90.0,top
C2,23.0,30.5,0.0,top
C3,32.0,40.5,270.0,top
C4,32.0,25.5,270.0,top
C5,23.0,16.5,0.0,top
C6,32.0,11.5,270.0,top
C7,44.0,43.5,0.0,top
C8,44.0375,39.5,0.0,top
C9,41.0,31.5,180.0,top
D1,39.0,43.5,0.0,top
D2,27.0,45.5,180.0,top
D3,27.0,30.5,180.0,top
D4,27.0,16.5,180.0,top
J1,46.0,53.5,0.0,top
J2,21.0,53.5,0.0,top
J3,11.0,36.0,90.0,top
J4,11.0,11.0,90.0,top
J5,70.5,38.5,270.0,top
Q1,53.0,37.5,90.0,top
Q2,61.0,35.8,270.0,top
Q3,53.0,25.5,90.0,top
Q4,61.0,23.8,270.0,top
Q5,42.0,11.5,0.0,top
Q6,42.0,7.5,180.0,top
R1,24.0,34.5,0.0,top
R10,24.0,5.5,0.0,top
R11,35.5,13.5,180.0,top
R12,35.5,6.5,180.0,top
R2,39.0,39.5,0.0,top
R3,24.0,19.5,0.0,top
R4,20.0,31.0,90.0,top
R5,17.0,31.0,90.0,top
R6,33.0,19.5,180.0,top
R7,33.0,22.5,180.0,top
R8,33.0,34.5,180.0,top
R9,33.0,37.5,180.0,top
U1,26.0,39.5,0.0,top
U2,26.0,24.5,0.0,top
U3,26.0,10.5,0.0,top
