Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C6, C7, C8, C9",C0603,6,100n,C14663
"C10, C11, C2, C5",0805,4,10u,C15850
C3,C0603,1,100p,C14858
G1,rusefi_logo,1,RUSEFI_LOGO,
"H1, H2",MountingHole_3.2mm_M3_ISO14580,2,M3,
J1,6473423-1,1,6473423-1,
"P1, P2, P3, P4",PAD-TH,4,Pad,
"Q1, Q2, Q3, Q4",TO-263-2,4,ISL9V3040S3S,C898702
"R1, R2",R0603,2,10k,C25804
"R10, R12, R6, R8",2512,4,36k,C474088
"R11, R13, R7, R9",1206,4,4.02k,C274026
"R3, R4",R0603,2,100,C22775
R5,Shunt_1206,1,0.02,C728292
U1,Mcz33810,1,MCZ33810EK,C3192631
U2,SOT-23-3,1,XC6206P332MR,C5446
