Designator,Mid X,Mid Y,Rotation,Layer
C1,40.301,40.0,180.0,top
C10,28.0,44.6375,270.0,top
C11,20.0,44.6375,270.0,top
C2,40.351,38.0,0.0,top
C3,25.249046,23.1,180.0,top
C4,59.301,40.0,0.0,top
C5,59.301,38.0,180.0,top
C6,30.0,24.0,0.0,top
C7,43.0,24.0,0.0,top
C8,56.0,24.0,0.0,top
C9,69.0,24.0,0.0,top
G1,68.0,46.0,0.0,top
J1,4.0,25.0,270.0,top
P1,26.0,33.0,0.0,top
P2,23.0,28.0,0.0,top
P3,26.0,28.0,0.0,top
P4,23.0,33.0,0.0,top
Q1,27.54,7.35,270.0,top
Q2,40.54,7.35,270.0,top
Q3,53.54,7.35,270.0,top
Q4,66.54,7.35,270.0,top
R1,27.0,37.0,180.0,top
R10,56.0,20.0,0.0,top
R11,62.0,21.0,90.0,top
R12,68.9625,20.0,0.0,top
R13,75.0,21.0,90.0,top
R2,23.5,37.0,0.0,top
R3,26.249046,25.3,270.0,top
R4,24.3,25.3,270.0,top
R5,23.0,20.40002,90.0,top
R6,30.0,20.0,0.0,top
R7,36.0,21.0,90.0,top
R8,43.0,20.0,0.0,top
R9,49.0,21.0,90.0,top
U1,50.0,39.8768,0.0,top
U2,24.05,44.6375,90.0,top
