Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C7, C8",C0603,6,1n,C1588
"C10, C9",C0603,2,22u,C59461
"C11, C12, C5, C6",C0603,4,100n,C14663
"D1, D2",SOT-23,2,BAT54S,C408389
"D3, D4, D5, D6, D7, D8",0603,6,GREEN,C72043
G1,rusefi_logo,1,RUSEFI_LOGO,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole_Pad,
J1,TerminalBlock_MetzConnect_Type055_RT01504HDWU_1x04_P5.00mm_Horizontal,1,DNP,
P1,33311-24AW-2,1,33311-24AW-2,
"R1, R13, R14, R2",R0603,4,4.7k,C23162
"R10, R3, R4, R5, R6, R7, R8, R9",R1206,8,4.7k,C17936
"R11, R12, R23, R24, R25, R26",R0603,6,DNP,
"R15, R16, R17, R18, R19, R20, R21, R22",R0603,8,10k,C25804
"U1, U2",MSOP-10_3x3mm_P0.5mm,2,MAX9924UAUB+,C143633
U3,SOT-363,1,74HC2G17GW,C94189
U4,MSOP-8_3x3mm_P0.65mm,1,74LVC2G86,C130023
