Designator,Mid X,Mid Y,Rotation,Layer
C1,26.0,28.5,270.0,top
C10,46.0,10.5,270.0,top
C11,21.0,13.5,270.0,top
C12,39.0,3.525,90.0,top
C2,22.0,28.5,270.0,top
C3,41.0,20.5,0.0,top
C4,33.0,20.5,0.0,top
C5,36.0,10.5,270.0,top
C6,44.0,10.5,270.0,top
C7,26.0,16.5,0.0,top
C8,21.0,16.5,180.0,top
C9,38.0,10.5,270.0,top
D1,26.0,20.0,180.0,top
D2,21.0,20.0,0.0,top
D3,11.0,19.5,180.0,top
D4,11.0,17.5,180.0,top
D5,11.0,23.5,180.0,top
D6,11.0,21.5,180.0,top
D7,11.0,15.5,0.0,top
D8,11.0,13.5,0.0,top
G1,13.0,31.0,0.0,top
J1,26.0,5.5,180.0,top
P1,11.9675,37.484,0.0,top
R1,24.0,28.5,90.0,top
R10,29.0,24.5,90.0,top
R11,41.0,17.5,0.0,top
R12,33.0,17.5,0.0,top
R13,25.0,24.5,90.0,top
R14,22.0,24.5,90.0,top
R15,40.0,7.5,180.0,top
R16,32.0,7.5,180.0,top
R17,6.0,18.0,180.0,top
R18,6.0,16.0,180.0,top
R19,6.0,24.0,180.0,top
R2,20.0,28.5,90.0,top
R20,6.0,22.0,180.0,top
R21,6.0,14.0,180.0,top
R22,6.0,10.0,180.0,top
R23,6.0,8.0,180.0,top
R24,6.0,12.0,180.0,top
R25,6.0,20.0,180.0,top
R26,6.0,26.0,180.0,top
R3,39.5,29.5,90.0,top
R4,36.0,29.5,90.0,top
R5,32.5,29.5,90.0,top
R6,29.0,29.5,90.0,top
R7,39.5,24.5,90.0,top
R8,36.0,24.5,90.0,top
R9,32.5,24.5,90.0,top
U1,41.0,12.5,270.0,top
U2,33.0,12.5,270.0,top
U3,24.0,13.5,270.0,top
U4,34.0,3.525,0.0,top
