Designator,Mid X,Mid Y,Rotation,Layer
C1,185.166,-82.296,0,T
C2,118.8,-92.48,90,T
C3,122.36,-92.48,90,T
C4,125.984,-93.98,0,T
C5,125.984,-91.948,0,T
C6,113.82,-92.66,270,T
C7,129.54,-88.392,270,T
C8,160.693,-87.6931,90,T
C9,156.71,-92.83,270,T
C10,158.73,-92.8375,270,T
C11,160.74,-92.83,270,T
C12,174.04,-92.65,90,T
C201,167.71,-83.57,270,T
C202,165.7,-83.57,90,T
D1,183.33,-95.58,0,T
D2,165.1,-96.52,180,T
D3,175.006,-95.758,0,T
D4,113.68,-89.06,90,T
J1,184.15,-89.154,90,T
R1,111.76,-92.71,90,T
R2,181.23,-82.296,0,T
R3,179.324,-95.758,0,T
R6,116.332,-83.566,0,T
R7,115.824,-92.71,90,T
R201,175.87,-80.2,0,T
R202,177.29,-83.01,270,T
U1,136.398,-88.9,45,T
U2,175.768,-89.027,0,T
U3,168.14,-91.26,180,T
U201,172.51,-84.04,0,T
X1,121.59,-87.87,0,T
X2,128.91,-92.81,90,T
