Comment,Designator,Footprint,LCSC Part #
"6473423-1","J5","Connectors:6473423-1",""
"ISL9V3040D3S","Q1","Package_TO_SOT_SMD:TO-263-2","C462128"
"ISL9V3040D3S","Q2","Package_TO_SOT_SMD:TO-263-2","C462128"
"ISL9V3040D3S","Q3","Package_TO_SOT_SMD:TO-263-2","C462128"
"ISL9V3040D3S","Q4","Package_TO_SOT_SMD:TO-263-2","C462128"
"1k","R1","hellen-one-common:R0805","C17513"
"100k","R2","hellen-one-common:R0805","C149504"
"1k","R3","hellen-one-common:R0805","C17513"
"100k","R4","hellen-one-common:R0805","C149504"
"1k","R5","hellen-one-common:R0805","C17513"
"100k","R6","hellen-one-common:R0805","C149504"
"1k","R7","hellen-one-common:R0805","C17513"
"100k","R8","hellen-one-common:R0805","C149504"
