Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
J5,6473423-1,6473423-1,43.700000,28.500000,90.000000,top
Q1,ISL9V3040D3S,TO-263-2,13.500000,46.500000,0.000000,top
Q2,ISL9V3040D3S,TO-263-2,13.500000,34.500000,0.000000,top
Q3,ISL9V3040D3S,TO-263-2,13.500000,22.500000,0.000000,top
Q4,ISL9V3040D3S,TO-263-2,13.500000,10.500000,0.000000,top
R1,1k,R0805,2.500000,46.500000,180.000000,top
R2,100k,R0805,2.500000,49.000000,0.000000,top
R3,1k,R0805,2.500000,34.500000,180.000000,top
R4,100k,R0805,2.500000,37.000000,0.000000,top
R5,1k,R0805,2.500000,22.500000,180.000000,top
R6,100k,R0805,2.500000,25.000000,0.000000,top
R7,1k,R0805,2.500000,10.500000,180.000000,top
R8,100k,R0805,2.500000,13.000000,0.000000,top
